airline_code,departure_airport_code,destination_airport_code,departure_date,arrival_date,ticket_price,First_flight,first_flight_code,last_flight_code,selling_airline,departure_time,arrival_time,Detected_Language,Assigned_Country,Assigned_Currency
AA,CLT,CUN,"['2024', '6', '26', '7', '15']","['2024', '6', '26', '9', '10']",383,CLT-CUN,AA881,AA881,American,6,26,Deutsch,Deutschland,EUR
AA,CLT,CUN,"['2024', '6', '26', '11', '50']","['2024', '6', '26', '13', '54']",383,CLT-CUN,AA886,AA886,American,6,26,Deutsch,Deutschland,EUR
AA,CLT,CUN,"['2024', '6', '26', '13', '5']","['2024', '6', '26', '14', '59']",383,CLT-CUN,AA1778,AA1778,American,6,26,Deutsch,Deutschland,EUR
AA,CLT,CUN,"['2024', '6', '26', '9', '5']","['2024', '6', '26', '11', '13']",410,CLT-CUN,AA895,AA895,American,6,26,Deutsch,Deutschland,EUR
UA,CLT,CUN,"['2024', '6', '26', '10', '7']","['2024', '6', '26', '15', '51']",401,CLT-IAD,UA1361,UA1618,United,2024,6,Deutsch,Deutschland,EUR
AA,CLT,CUN,"['2024', '6', '26', '14', '30']","['2024', '6', '26', '18', '24']",414,CLT-MIA,AA1114,AA2492,American,"""AA""","""2492""",Deutsch,Deutschland,EUR
F9,CLT,CUN,"['2024', '6', '26', '19', '32']","['2024', '6', '27', '13', 'null']",437,CLT-DEN,F92985,70null,Frontier,2024,6,Deutsch,Deutschland,EUR
UA,CLT,CUN,"['2024', '6', '26', '17', '10']","['2024', '6', '26', '22', '7']",456,CLT-IAH,UA675,UA1084,2024,6,26,Deutsch,Deutschland,EUR
AA,CLT,CUN,"['2024', '6', '26', '20', '10']","['2024', '6', '27', '11', '5']",479,CLT-MIA,AA1031,1157null,American,"""AA""","""1157""",Deutsch,Deutschland,EUR
DL,CLT,CUN,"['2024', '6', '26', '7', '5']","['2024', '6', '26', '11', '19']",594,CLT-ATL,DL3156,DL586,Delta,2024,6,Deutsch,Deutschland,EUR
AA,CLT,CUN,"['2024', '6', '26', '7', '15']","['2024', '6', '26', '9', '10']",383,CLT-CUN,AA881,AA881,American,6,26,Deutsch,Deutschland,EUR
AA,CLT,CUN,"['2024', '6', '26', '11', '50']","['2024', '6', '26', '13', '54']",383,CLT-CUN,AA886,AA886,American,6,26,Deutsch,Deutschland,EUR
AA,CLT,CUN,"['2024', '6', '26', '13', '5']","['2024', '6', '26', '14', '59']",383,CLT-CUN,AA1778,AA1778,American,6,26,Deutsch,Deutschland,EUR
AA,CLT,CUN,"['2024', '6', '26', '9', '5']","['2024', '6', '26', '11', '13']",410,CLT-CUN,AA895,AA895,American,6,26,Deutsch,Deutschland,EUR
